"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
187	-29.632867	16.452251	156.691617	-0.862277	0.253783	0.438261	-0.103358	-0.935353	0.338277	0.495778	0.246391	0.832764
188	-33.116109	17.698156	159.960688	-0.492150	0.241245	0.836414	0.094809	-0.940262	0.326983	0.865332	0.240225	0.439878
189	-34.422424	18.645161	164.639441	-0.061546	0.095607	0.993515	0.377787	-0.919112	0.111850	0.923845	0.382221	0.020449
190	-34.214966	18.688275	169.625695	0.090300	-0.040734	0.995081	0.929217	-0.356055	-0.098898	0.358332	0.933577	0.005699
191	-34.000012	18.568498	174.616718	-0.000010	-0.016391	0.999866	1.000000	-0.000021	0.000010	0.000021	0.999866	0.016391
192	-34.000047	18.486542	179.616046	-0.000004	-0.016391	0.999866	1.000000	-0.000078	0.000002	0.000078	0.999866	0.016391
193	-34.000052	18.404585	184.615375	0.000001	-0.016391	0.999866	1.000000	-0.000087	-0.000002	0.000087	0.999866	0.016391
194	-34.000040	18.322629	189.614703	0.000004	-0.016423	0.999865	1.000000	-0.000067	-0.000005	0.000067	0.999865	0.016423
195	-34.000020	18.300000	194.614563	-0.000721	0.000000	1.000000	1.000000	-0.000034	0.000721	0.000034	1.000000	0.000000
196	-32.017520	18.300000	198.986804	0.797362	0.000000	0.603501	0.603501	-0.000006	-0.797362	0.000004	1.000000	-0.000005
